Company Name,Domain,Description,Industry,Tech Vertical,Sub-industry,Growth Stage,Founded Date,HQ Location,Operating Status,Total Funding Amount (in USD),Last Funding Amount (in USD),Last Funding Date,Last Funding Type,Post Money Valuation (in USD),Number of Funding Rounds,Investors,Lead Investors,Annual Revenue Estimate (in USD),Founders,Founder Highlights,Number of Founders,Employee Count,Employee Monthly Growth3,Employee Monthly Growth6,Web Visits,Web Visits Monthly Growth3,Web Visits Monthly Growth6,Number of Patents,Awards Count,Highlights,Tagline,stage_score,sector_score,founder_score,momentum_score,total_score,qualification_tier,outreach_action,timing_note,diligence_steps
Lyric,lyric.tech,"Lyric is a pioneering supply chain technology company founded in 2022 that offers an enterprise-grade, composable platform called Lyric Studio. The platform enables enterprises to model, plan, and operate supply chains with advanced decision intelligence, integrating data, algorithms, workflows, and accelerated computing. Lyric Studio provides scalable, flexible, and extensible solutions that empower supply chain teams to innovate quickly and optimize operations through science-as-a-service, forecasting, routing, scheduling, and forensics. Trusted by leading global brands such as Coca-Cola Consolidated, BODYARMOR, and Red Classic Transportation, Lyric drives significant cost savings and operational efficiency, positioning itself as a leader in next-generation supply chain AI technology.","Technology, Information and Internet; Software Development","Supply Chain & ManufacturingTech > AI and Analytics for Supply Chain Optimization; Mobility, Transport & Logistics > Freight, TMS and Logistics Platforms; AI & Machine Learning > LLMOps & Model Lifecycle Management; Data & Analytics > Advanced Analytics and Data Science; AI & Machine Learning > Synthetic Data and Simulation",Artificial Intelligence (AI); Data Management; Information Technology; Supply Chain Management,Growth Stage,2021,"Sunnyvale, California, United States, North America",Active,66500000.0,43500000.0,2025-08-05,Series B,0.0,2,"Insight Partners, NewBuild Venture Capital, PSP Capital Partners, Permanent Capital Partners, Primary Venture Partners, VMG Partners","Primary Venture Partners, Permanent Capital Partners, Insight Partners",0.0,"[{""specter_person_id"":""per_4fc4191948c803cb229990b3"",""full_name"":""Sarang Jagdale, PhD"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_56081666e3022fb46fef60ca"",""full_name"":""Karthik Muthukrishnan"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder and Head of Engineering"",""seniority"":""Executive Level""},{""specter_person_id"":""per_83f2d3c17f68f2449794ebf8"",""full_name"":""Ganesh Ramakrishna"",""departments"":[""Senior Leadership""],""title"":""Founder, C.E.O"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, VC-Backed Experience, VC-Backed Founder",3,304,24.59,46.86,41843.0,98.71,88.86,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, No Recent Funding",Lyric offers a composable platform for advanced supply chain modeling and decision intelligence.,100,100,90,100,100,Tier 1,Reach out now (Tier 1),~10mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Blue Water Autonomy,blw.ai,"Blue Water Autonomy builds fully autonomous, crewless surface vessels for long-endurance open-ocean missions, carrying modular payloads for logistics, surveillance, or munitions. They combine purpose-built 100-foot, ~100-ton hulls with integrated hardware, control software, and onboard AI to operate independently for extended durations. The company designs ships for mass producibility in medium-sized shipyards and develops the autonomy stack, sensor suites, and payload integration. Products are targeted at defense customers such as the U.S. Navy and commercial markets including cargo shipping and offshore energy.",Manufacturing; Transportation Equipment Manufacturing; Shipbuilding,"Mobility, Transport & Logistics > Maritime, Aviation and Rail Tech; Robotics & Industrial Tech > Aerial Robotics and Autonomous Drones; Robotics & Industrial Tech > Edge Computing and AI for Robotics; AI & Machine Learning > Agentic Frameworks and Orchestration; Defence & Security > Autonomous and Uncrewed Systems",Machinery Manufacturing; Manufacturing; Marine Transportation; Shipping,Early Stage,2024,"Boston, Massachusetts, United States, North America",Active,64000000.0,50000000.0,2025-08-26,Series A,0.0,2,"Eclipse Ventures, Google Ventures, Impatient Ventures, Riot Ventures","Eclipse, Google Ventures",0.0,"[{""specter_person_id"":""per_3851a3283cce32b1b2477427"",""full_name"":""Austin Gray"",""departments"":[""Senior Leadership""],""title"":""Co-Founder & CSO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_4ccf49fac5f51754016acc73"",""full_name"":""Scott N. Miller"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""CTO and Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_aeef7eb4782f7d124e6aa880"",""full_name"":""Rylan Hamilton"",""departments"":[""Senior Leadership""],""title"":""CEO and Co-Founder"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Hyper Connector, Unicorn Experience, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, Top University, VC-Backed Experience, VC-Backed Founder",3,50,11.11,56.25,13673.0,174.61,167.99,,,"Headcount Momentum, Headcount Scale-up, Web Traffic Surge, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, No Recent Funding",Blue Water Autonomy develops fully autonomous unmanned ships for long-endurance open-ocean missions.,100,100,100,100,100,Tier 1,Reach out now (Tier 1),~9mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Observable Space,observable.space,"Observable Space supplies the hardware and software organizations need to operate spacecraft and observe the cosmos. The company provides telescopes and core software architecture that support mission operations, data collection, and system integration. Its offerings combine physical instruments with enterprise-grade software, APIs, and integration capabilities for research institutions, commercial operators, and government agencies. Observable Space operates as a B2B provider of space infrastructure across scientific, commercial, educational, and governmental markets.",Government Administration; Space Research and Technology,"Space & Frontier > Earth Observation and Space Data; Space & Frontier > Space Operations, Services and Logistics; Defence & Security > Space and Aerospace Defence; Space & Frontier > Exploration and Science Missions; Space & Frontier > Spacecraft Platforms and Constellations",Analytics; Developer APIs; Information Technology; Software; Space Travel,Growth Stage,2022,"Santa Monica, California, United States, North America",Active,106044010.0,90000000.0,2026-05-28,Series A,0.0,3,"BRV Capital Management, Detroit Venture Partners, Embedded Ventures, Fathom Fund, Island Green Capital, Lux Capital, Marlinspike Capital, Oceans, RTX Ventures, Upfront Ventures, Venrex","Upfront Ventures, Venrex, Lux Capital",0.0,"[{""specter_person_id"":""per_42efa0e4c84b043e433e0361"",""full_name"":""Daniel Roelker"",""departments"":[""Senior Leadership""],""title"":""Co-founder and CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_5dc960df5ac66d1fd26be636"",""full_name"":""Richard Hedrick"",""departments"":[""Senior Leadership""],""title"":""President and Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_6faa79d327110632eef7d376"",""full_name"":""Alex Hawkinson"",""departments"":[""Senior Leadership""],""title"":""Co-Founder and Board Member"",""seniority"":""Executive Level""}]","Unicorn Experience, Prior Exit, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Top University, VC-Backed Experience, VC-Backed Founder",3,43,16.22,43.33,5384.0,141.65,220.1,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, Raised Last Month, Recent Funding, Recent News",Observable Space provides hardware and software for organizations operating in space.,100,100,73,100,99,Tier 1,Reach out now (Tier 1),"Raised ~0mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
GoodShip,goodship.io,"GoodShip helps shippers reduce freight costs and improve service by centralizing procurement, carrier management, and transportation analytics in one platform. It does this by ingesting data from TMS and ERP systems and integrating market-rate feeds such as DAT, TruckStop, and FreightWaves SONAR, while applying AI for bid recommendations, scenario modeling, and carrier scorecards. The product is offered as a B2B SaaS freight orchestration and procurement solution with built-in procurement tools, a carrier self-service portal, and integrations with partners like Princeton TMX. Implementation claims include rapid time-to-value with procurement and service recommendations available within weeks. GoodShip targets shippers and transportation teams seeking to optimize spend, compliance, and on-time delivery across complex carrier networks.","Technology, Information and Internet; Software Development","Mobility, Transport & Logistics > Freight, TMS and Logistics Platforms; Supply Chain & ManufacturingTech > Supply Chain Visibility and Control Towers; Commerce & Marketplaces > B2B Marketplaces & Procurement Networks; Supply Chain & ManufacturingTech > Transportation, Freight and Network Optimization; Enterprise Automation > Procurement and Vendor Management Automation",Freight Service; Logistics; Transportation,Early Stage,2022,"Bellevue, Washington, United States, North America",Active,40400000.0,25000000.0,2025-08-12,Series B,0.0,4,"53 Stations, Andrew Silver, Bessemer Venture Partners, Cercano Management, Chicago Ventures, Dan Lewis, FUSE, Flexport, Greenfield Partners, Innovation Endeavors, Ironspring Ventures, Jett McCandless, Kindergarten Ventures, McVestCo, Nichole Wischoff, Sean Henry, Sope Creek Capital","FUSE, Ironspring Ventures, Chicago Ventures, Bessemer Venture Partners, Greenfield Partners",0.0,"[{""specter_person_id"":""per_0337d5464f04a84a60cc3088"",""full_name"":""David Tsai"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder & CTO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_c7b5eb4a30762f6854cde2ca"",""full_name"":""Ryan Soskin"",""departments"":[""Senior Leadership""],""title"":""Co-Founder, CEO"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior VC-Backed Experience, Serial Founder, Strong Technical Background, Top University, VC-Backed Experience, VC-Backed Founder",2,64,0.0,18.52,9029.0,116.57,46.65,,,"Headcount Momentum, Headcount Scale-up, Top Tier Investors, No Recent Funding",GoodShip is an all-in-one freight orchestration and procurement platform for shippers.,100,100,53,100,98,Tier 1,Reach out now (Tier 1),~10mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Filics,filics.eu,"Filics provides an innovative automated double runner system, the Filics Unit, for efficient pallet transportation in intralogistics, addressing labor shortages and increasing productivity. This compact, autonomously guided vehicle offers omnidirectional movement and fits seamlessly under various load carriers without the need for maneuvering. It utilizes laser navigation and is controlled by a web-based, customizable software platform for intuitive operation and performance analysis. The system is designed for collaborative operation with employees, automating tasks like loading, unloading, and production line transport. Filics targets logistics and manufacturing companies, supporting loads up to 800 kg, and has demonstrated significant efficiency gains with clients like DHL Supply Chain.",Manufacturing; Machinery Manufacturing; Automation Machinery Manufacturing,"Mobility, Transport & Logistics > Warehouse and Logistics Automation; Robotics & Industrial Tech > Ground Mobility: AMRs and AGVs; Supply Chain & ManufacturingTech > Industrial IoT, Edge and Asset Performance; AI & Machine Learning > Multimodal Perception and Sensor Fusion; Robotics & Industrial Tech > Collaborative and Industrial Robotics",Logistics; Supply Chain Management; Transportation,Early Stage,2019,"Munich, Bavaria, Germany, Europe",Active,15882446.0,15882446.0,2025-07-07,Series A,0.0,5,"10x Founders, Alven, Amazon Industrial Innovation Fund, Andrei Danescu, Bayern Kapital, Capnamic, DnA Ventures, Elokon Ventures, F-LOG Ventures, Helmut Schmid, Initiative for Industrial Innovators, Intel Ignite, Sandwater","10x Founders, Intel Ignite, Capnamic",0.0,"[{""specter_person_id"":""per_0142a89399ab93b1e7d36616"",""full_name"":""Gregor Kolls"",""departments"":[""Senior Leadership""],""title"":""Co-Founder, CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_17668f1013c9c5825c889c20"",""full_name"":""Tim Pronten"",""departments"":[""Senior Leadership""],""title"":""Shareholder and co-founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_25491ce7c0155ce3f6ca295e"",""full_name"":""Robin Konrad"",""departments"":[""Senior Leadership"",""Operations""],""title"":""COO | Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_4a11dd29808cc9bbdff3380e"",""full_name"":""Markus Weber"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""CTO"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Top University, VC-Backed Experience, VC-Backed Founder",4,52,23.81,100.0,8664.0,-0.29,457.17,4.0,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, No Recent Funding",Filics automates intralogistics pallet transportation with a double runner system.,100,100,57,100,98,Tier 1,Reach out now (Tier 1),~11mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
ATMOS Space Cargo,atmos-space-cargo.com,"ATMOS Space Cargo provides predictable, low-stress return of payloads from orbit to Earth for research, manufacturing, and defense customers. It builds the PHOENIX return capsule using an inflatable heat shield for cost-efficient atmospheric entry, supplemented by parachute recovery and onboard avionics. The company integrates embedded systems, PCB design, and guidance algorithms including Kalman filtering for in-space operations and precise re-entry control. ATMOS offers payload integration, in-orbit operations, and recovery services to space research institutions, life sciences firms, and aerospace manufacturers.",Government Administration; Space Research and Technology,"Space & Frontier > Space Operations, Services and Logistics; Space & Frontier > On-Orbit Services and Infrastructure; Space & Frontier > Launch, Reentry and Propulsion Systems; Defence & Security > Space and Aerospace Defence",Aerospace; Manufacturing; Space Travel,Early Stage,2021,"Lichtenau, Baden-Wurttemberg, Germany, Europe",Active,50882390.0,30215707.0,2026-04-22,Series A,0.0,6,"APEX Ventures, Amadeus APEX Technology Fund, Balnord, E2MC Ventures, EIC Accelerator, European Innovation Council, Expansion Ventures, Faber, HTGF (High-Tech Gruenderfonds), Keen Venture Partners, Kirch Ventures, Lennertz & Co., MBG Baden Wuerttemberg, MÃ¤tch VC, OTB Ventures, Seraphim Space, Tech Horizons, VENTIS CAPITAL, another.vc","HTGF (High-Tech Gruenderfonds), Amadeus APEX Technology Fund, Seraphim Space, VENTIS CAPITAL, E2MC Ventures, EIC Accelerator, European Innovation Council, MÃ¤tch VC, Expansion Ventures, Balnord",0.0,"[{""specter_person_id"":""per_1b39792a633f82fe3d86f43f"",""full_name"":""Christian Grimm"",""departments"":[""Engineering""],""title"":""Lead Systems Engineer / Co-founder @ ATMOS Space Cargo"",""seniority"":""Senior Level""},{""specter_person_id"":""per_22f54536056c48c5dabfbb65"",""full_name"":""Sebastian Klaus"",""departments"":[""Senior Leadership""],""title"":""CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_499530b57dd968c7c31d715b"",""full_name"":""Marta Oliveira"",""departments"":[""Senior Leadership"",""Operations""],""title"":""Co-founder & COO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_a7dbb8242e80d1df26a01408"",""full_name"":""Jeffrey Hendrikse"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Chief Technology Officer"",""seniority"":""Executive Level""},{""specter_person_id"":""per_d78a3f563237256de8b02edf"",""full_name"":""Fabrice Testa"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""}]","Hyper Connector, Polyglot, Prior Exit, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, Top University, VC-Backed Experience, VC-Backed Founder",5,80,21.21,29.03,12873.0,138.57,434.37,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Surge, Web Traffic Momentum, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Recent Funding, Recent News",ATMOS Space Cargo builds PHOENIX capsules with inflatable heat shields to recover orbital payloads.,100,100,67,100,98,Tier 1,Reach out now (Tier 1),"Raised ~1mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Portal Space Systems,portalsystems.space,"Portal Space Systems builds the Supernova, a payload-agnostic satellite bus that provides rapid, long-range maneuverability for spacecraft operators. The Supernova uses a novel solar-thermal propulsion system and high-delta-v architecture to enable transfers between LEO, MEO, GEO, and cislunar space in hours or days. The platform is engineered for payload flexibility, radiation tolerance, and includes space domain awareness sensors to support tactical responsiveness on orbit. Portal sells the Supernova as an OEM spacecraft platform and provides vehicle integration and mission support to satellite developers and government and defense operators.",Manufacturing; Transportation Equipment Manufacturing; Defense and Space Manufacturing,"Space & Frontier > Launch, Reentry and Propulsion Systems; Space & Frontier > Spacecraft Platforms and Constellations; Defence & Security > Space and Aerospace Defence",Information Services; Information Technology; Service Industry,Early Stage,2021,"Bothell, Washington, United States, North America",Active,131976510.0,50000000.0,2026-04-09,Series A,0.0,5,"ARK Investment Management, AlleyCorp, Atypical Ventures, Booz Allen Ventures, FUSE, First In, Geodesic Capital, Jeff Crusey, Mach33 Financial Group, Offline Ventures, TFX Capital, Trajectory Ventures, U.S. Department of Defense","U.S. Department of Defense, AlleyCorp, Geodesic Capital, Mach33 Financial Group",0.0,"[{""specter_person_id"":""per_1c6b6a97efa122b72cfaf4d1"",""full_name"":""Jeff Thornburg"",""departments"":[""Senior Leadership""],""title"":""CEO & Co-founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_d9bf05ecb9dcdb2fb158b6bc"",""full_name"":""Ian Vorbach"",""departments"":[""Senior Leadership"",""BD & Marketing""],""title"":""Co-Founder, Chief Revenue Officer"",""seniority"":""Executive Level""},{""specter_person_id"":""per_ff0f7283e947d770475fbeb9"",""full_name"":""Prashaanth Ravindran Ph.D."",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder and Vice-President of Engineering"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Academic Background, Strong Technical Background, Top University, VC-Backed Experience, VC-Backed Founder",3,35,59.09,66.67,9679.0,110.23,75.85,1.0,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Recent Funding, Recent News",Portal Space Systems builds the Supernova satellite bus for rapid in-space maneuverability.,100,100,67,100,98,Tier 1,Reach out now (Tier 1),"Raised ~2mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Senra Systems,senrasystems.us,"Senra Systems turns manual wire-harness assembly into high-throughput, software-driven manufacturing to speed delivery of complex harness builds. The company integrates proprietary production software with automated assembly lines and process controls to convert skilled tasks into repeatable manufacturing workflows. It operates as a B2B wire-harness manufacturer and platform provider serving industries such as aerospace and defense. Senra's approach combines hardware production and software orchestration to enable faster, on-demand harness design and delivery at scale.",Manufacturing; Transportation Equipment Manufacturing; Aviation and Aerospace Component Manufacturing,Supply Chain & ManufacturingTech > Manufacturing Execution and Factory Systems; Enterprise Automation > API Integration & Connectivity Layers; Enterprise Automation > Integration and Workflow Automation; AI & Machine Learning > Agentic Frameworks and Orchestration; Robotics & Industrial Tech > Collaborative and Industrial Robotics,Industrial; Manufacturing; Software,Early Stage,2023,"Redondo Beach, California, United States, North America",Active,25000000.0,25000000.0,2025-06-18,Series A,0.0,3,"8VC, Adapt Ventures, Andreessen Horowitz, BBQ Capital, CIV, Dylan Field, Founders Fund, General Catalyst, Pax Ventures, Sequoia Capital","Dylan Field, CIV",0.0,"[{""specter_person_id"":""per_0b09a818eeb9964be6463f60"",""full_name"":""Jordan Black"",""departments"":[""Senior Leadership""],""title"":""Co-Founder/CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_3d48adb222e451ad844793da"",""full_name"":""Pete Beukelman"",""departments"":[""Engineering""],""title"":""Manufacturing Engineering Manager"",""seniority"":""Senior Level""},{""specter_person_id"":""per_698938b4680dcd642d66d7fa"",""full_name"":""Benjamin Shanahan"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder, CTO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_f56374528e32227bbde815d5"",""full_name"":""Eric Perez"",""departments"":[""Engineering""],""title"":""Founding Software Engineer"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior VC-Backed Experience, Strong Technical Background, Top University, VC-Backed Experience, VC-Backed Founder",4,96,24.68,35.21,14060.0,121.56,159.07,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Surge, Social Followers Scale-up, Top Tier Investors, No Recent Funding",Senra Systems manufactures wire harnesses using a software-powered production platform.,100,100,37,100,97,Tier 1,Reach out now (Tier 1),~12mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Reveni,reveni.io,"Reveni is a fintech platform that centralizes global sales, returns, and logistics for ecommerce businesses into a single dashboard, integrating with major ecommerce platforms. It automates returns and exchanges with instant refunds and real-time stock synchronization, enhancing customer loyalty and operational efficiency. The platform enables brands to operate globally with simplified international logistics, reducing manual operations and costs while boosting repurchase rates and average order values. Reveni's solution transforms returns from a challenge into a sales and loyalty opportunity, supporting brands in growing without operational complexity barriers.","Technology, Information and Internet; Internet Marketplace Platforms","FinTech > Risk, Fraud and Decisioning; FinTech > Payment Infrastructure & Orchestration; Commerce & Marketplaces > Commerce Platforms",E-Commerce,Early Stage,2021,"London, England, United Kingdom, Europe",Active,18186744.0,8793827.0,2025-09-30,Series A,0.0,6,"13books Capital, BANCO SANTANDER, BSV Ventures, Big Sur Ventures, Borja Aranguren Herrera, Bynd Venture Capital, Carlos Miragall, Evaristo BabÃ©, Fernando Cabello-Astolfi, Fin Capital, Genially, Hackquarters, Ignacio Moreno Pubul, Inveready, JME Ventures, JosÃ© Barrionuevo, JosÃ© Manuel Entrecanales Domecq, Luis Basagoiti MarquÃ©s, Miguel Fernandez, Rafael Del Valle","Fernando Cabello-Astolfi, JME Ventures, Hackquarters, Inveready, 13books Capital",0.0,"[{""specter_person_id"":""per_0517f0bea812f315a192bb42"",""full_name"":""Pablo Molinero"",""departments"":[""Senior Leadership"",""Operations""],""title"":""Co-Founder & COO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_225baa62794db695bb3090ca"",""full_name"":""Fernando Pedraz"",""departments"":[""Senior Leadership""],""title"":""Co-Founder & CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_4aa7b3c98b9dd0bc7802006a"",""full_name"":""Gonzalo MartÃ­n"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder & CTO"",""seniority"":""Executive Level""}]","Unicorn Experience, Prior Exit, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Academic Background, Strong Technical Background, VC-Backed Founder",3,53,8.16,35.9,544682.0,0.57,380.94,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Momentum, Web Traffic Scale-up, Social Followers Scale-up, Recent Funding",Reveni is a platform that automates ecommerce returns and exchanges with instant refunds.,100,60,77,100,97,Tier 1,Reach out now (Tier 1),"Raised ~8mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Confirm core technology and fit with target sectors. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
ARX Robotics,arx-robotics.com,"ARX Robotics modernizes military and commercial vehicle fleets by delivering autonomous unmanned ground systems and AI-based software that enable networked, mission-ready operations. The company builds modular hardware such as the GEREON RCS transport platform together with Mithra OS, an AI-native operating system that adds autonomy, sensor fusion, real-time control, and multi-network connectivity (Bluetooth, Wiâ€‘Fi, 4G/5G, Starlink, GNSS) to new and legacy platforms via open APIs. Its product set is positioned as a B2B SaaS-plus-services offering combining robotics, system integration, and production-scale manufacturing for defense and civil use cases like logistics, sensor deployment, and MedEvac support. ARX integrates technologies from AI and autonomous systems to automotive-grade engineering to enable rapid deployment and scaling across European defense and commercial customers. The company has active deployments with European armed forces and fielded systems in operational environments.",Manufacturing; Transportation Equipment Manufacturing; Defense and Space Manufacturing,"Defence & Security > Autonomous and Uncrewed Systems; Robotics & Industrial Tech > Aerial Robotics and Autonomous Drones; AI & Machine Learning > Multimodal Perception and Sensor Fusion; AI & Machine Learning > Agentic Frameworks and Orchestration; Mobility, Transport & Logistics > Autonomous and ADAS Systems",Artificial Intelligence (AI); Autonomous Vehicles; Drones; Manufacturing; Robotics,Growth Stage,2022,"Munich, Bavaria, Germany, Europe",Active,58826128.0,12737260.0,2025-07-29,Series A,0.0,4,"Christian Reber, Discovery Ventures, HV Capital, JVH Ventures, NATO Innovation Fund, Omnes Capital, Project A Ventures, Robin Capital, Robin Haak, Speedinvest","Project A Ventures, NATO Innovation Fund, HV Capital, Speedinvest",0.0,"[{""specter_person_id"":""per_105b89fec66c7a44003a2934"",""full_name"":""Marc A. Wietfeld"",""departments"":[""Senior Leadership""],""title"":""CEO & Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_265081a81aa48757600aa9f8"",""full_name"":""Stefan R."",""departments"":[""Senior Leadership"",""Operations""],""title"":""COO & Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_6cf8e2a70d0568b0a3bc4bb1"",""full_name"":""Marcel Schorr"",""departments"":[""Senior Leadership""],""title"":""Co-Founder & Former Managing Director"",""seniority"":""Executive Level""},{""specter_person_id"":""per_df3beca189c75fcee86a249a"",""full_name"":""Maximilian Wied"",""departments"":[""Senior Leadership"",""Finance""],""title"":""CFO and Co-Founder"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Hyper Connector, Unicorn Experience, Prior VC-Backed Experience, Serial Founder, VC-Backed Experience, VC-Backed Founder",4,158,13.67,54.9,40562.0,76.1,106.75,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, No Recent Funding, Recent News",ARX Robotics develops autonomous unmanned ground systems and AI software for defense and civil use.,100,100,40,100,97,Tier 1,Reach out now (Tier 1),~10mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
