Company Name,Domain,Description,Industry,Tech Vertical,Sub-industry,Growth Stage,Founded Date,HQ Location,Operating Status,Total Funding Amount (in USD),Last Funding Amount (in USD),Last Funding Date,Last Funding Type,Post Money Valuation (in USD),Number of Funding Rounds,Investors,Lead Investors,Annual Revenue Estimate (in USD),Founders,Founder Highlights,Number of Founders,Employee Count,Employee Monthly Growth3,Employee Monthly Growth6,Web Visits,Web Visits Monthly Growth3,Web Visits Monthly Growth6,Number of Patents,Awards Count,Highlights,Tagline,stage_score,sector_score,founder_score,momentum_score,total_score
Blue Water Autonomy,blw.ai,"Blue Water Autonomy builds fully autonomous, crewless surface vessels for long-endurance open-ocean missions, carrying modular payloads for logistics, surveillance, or munitions. They combine purpose-built 100-foot, ~100-ton hulls with integrated hardware, control software, and onboard AI to operate independently for extended durations. The company designs ships for mass producibility in medium-sized shipyards and develops the autonomy stack, sensor suites, and payload integration. Products are targeted at defense customers such as the U.S. Navy and commercial markets including cargo shipping and offshore energy.",Manufacturing; Transportation Equipment Manufacturing; Shipbuilding,"Mobility, Transport & Logistics > Maritime, Aviation and Rail Tech; Robotics & Industrial Tech > Aerial Robotics and Autonomous Drones; Robotics & Industrial Tech > Edge Computing and AI for Robotics; AI & Machine Learning > Agentic Frameworks and Orchestration; Defence & Security > Autonomous and Uncrewed Systems",Machinery Manufacturing; Manufacturing; Marine Transportation; Shipping,Early Stage,2024,"Boston, Massachusetts, United States, North America",Active,64000000.0,50000000.0,2025-08-26,Series A,0.0,2,"Eclipse Ventures, Google Ventures, Impatient Ventures, Riot Ventures","Eclipse, Google Ventures",0.0,"[{""specter_person_id"":""per_3851a3283cce32b1b2477427"",""full_name"":""Austin Gray"",""departments"":[""Senior Leadership""],""title"":""Co-Founder & CSO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_4ccf49fac5f51754016acc73"",""full_name"":""Scott N. Miller"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""CTO and Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_aeef7eb4782f7d124e6aa880"",""full_name"":""Rylan Hamilton"",""departments"":[""Senior Leadership""],""title"":""CEO and Co-Founder"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Hyper Connector, Unicorn Experience, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, Top University, VC-Backed Experience, VC-Backed Founder",3,50,11.11,56.25,13673.0,174.61,167.99,,,"Headcount Momentum, Headcount Scale-up, Web Traffic Surge, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, No Recent Funding",Blue Water Autonomy develops fully autonomous unmanned ships for long-endurance open-ocean missions.,1.0,1.0,1.0,1.0,1.0
Lyric,lyric.tech,"Lyric is a pioneering supply chain technology company founded in 2022 that offers an enterprise-grade, composable platform called Lyric Studio. The platform enables enterprises to model, plan, and operate supply chains with advanced decision intelligence, integrating data, algorithms, workflows, and accelerated computing. Lyric Studio provides scalable, flexible, and extensible solutions that empower supply chain teams to innovate quickly and optimize operations through science-as-a-service, forecasting, routing, scheduling, and forensics. Trusted by leading global brands such as Coca-Cola Consolidated, BODYARMOR, and Red Classic Transportation, Lyric drives significant cost savings and operational efficiency, positioning itself as a leader in next-generation supply chain AI technology.","Technology, Information and Internet; Software Development","Supply Chain & ManufacturingTech > AI and Analytics for Supply Chain Optimization; Mobility, Transport & Logistics > Freight, TMS and Logistics Platforms; AI & Machine Learning > LLMOps & Model Lifecycle Management; Data & Analytics > Advanced Analytics and Data Science; AI & Machine Learning > Synthetic Data and Simulation",Artificial Intelligence (AI); Data Management; Information Technology; Supply Chain Management,Growth Stage,2021,"Sunnyvale, California, United States, North America",Active,66500000.0,43500000.0,2025-08-05,Series B,0.0,2,"Insight Partners, NewBuild Venture Capital, PSP Capital Partners, Permanent Capital Partners, Primary Venture Partners, VMG Partners","Primary Venture Partners, Permanent Capital Partners, Insight Partners",0.0,"[{""specter_person_id"":""per_4fc4191948c803cb229990b3"",""full_name"":""Sarang Jagdale, PhD"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_56081666e3022fb46fef60ca"",""full_name"":""Karthik Muthukrishnan"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder and Head of Engineering"",""seniority"":""Executive Level""},{""specter_person_id"":""per_83f2d3c17f68f2449794ebf8"",""full_name"":""Ganesh Ramakrishna"",""departments"":[""Senior Leadership""],""title"":""Founder, C.E.O"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, VC-Backed Experience, VC-Backed Founder",3,304,24.59,46.86,41843.0,98.71,88.86,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, No Recent Funding",Lyric offers a composable platform for advanced supply chain modeling and decision intelligence.,1.0,1.0,0.9,1.0,0.975
Pallet,trypallet.com,"Pallet provides an AI logistics workforce that automates repetitive back-office supply chain tasks to reduce manual order entry, document processing, and freight quoting. Its core product, CoPallet, uses AI models and computer vision to parse unstructured emails and PDFs, operate software systems, and execute workflows inside TMS, WMS, and ERP platforms. The platform is delivered as a B2B SaaS solution with a hybrid human-in-the-loop model for exception handling and accuracy. Pallet integrates with existing logistics systems without rip-and-replace and is used by carriers, 3PLs, brokers, and shippers at enterprise scale.","Technology, Information and Internet; Software Development","Enterprise Automation > AI Agents and Process Copilots; AI & Machine Learning > Agentic Frameworks and Orchestration; Mobility, Transport & Logistics > Logistics, Fulfilment, and Returns; Supply Chain & ManufacturingTech > Supply Chain Visibility and Control Towers; Supply Chain & ManufacturingTech > AI and Analytics for Supply Chain Optimization",Artificial Intelligence (AI); Business Intelligence; Fleet Management; Logistics; SaaS; Supply Chain Management; Warehousing,Growth Stage,2019,"San Francisco, California, United States, North America",Active,48000000.0,27000000.0,2025-05-27,Series B,0.0,3,"Aatish Nayak, Activant Capital, Aman Narang, Amit Agarwal, Bain Capital Ventures, Bessemer Venture Partners, Cedar Capital, Dan Lewis, General Catalyst, Girish Rishi, Manuel Kadre, Matt Mckinney, Michael Capellas, Ravi Parikh, Sahin Boydas, Steve Fredette, Tim Barash, Zach Frankel","Bain Capital Ventures, General Catalyst",0.0,"[{""specter_person_id"":""per_2c7b3d1103b6a1e24ecd633e"",""full_name"":""Sushanth Raman"",""departments"":[""Senior Leadership""],""title"":""Founder/CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_5b25508d989dc748c459fc0e"",""full_name"":""Andrew Spencer"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""}]","Unicorn Experience, Polyglot, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Top University, VC-Backed Founder",2,129,15.18,25.24,7380.0,-0.49,158.04,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, No Recent Funding","Pallet automates logistics back-office workflows with an AI workforce, CoPallet.",1.0,1.0,0.967,0.88,0.962
Robust.AI,robust.ai,"Robust.AI develops AI-powered autonomous mobile robots (AMRs) designed with a human-centric approach to enhance collaboration between robots and people. Their flagship product, Carter, is a flexible, scalable warehouse automation robot that delivers immediate ROI with no capital expenditure and requires zero infrastructure changes. The company focuses on increasing warehouse throughput and employee retention by supporting dynamic workflows in warehousing and manufacturing environments. Robust.AI has notable partnerships, including with Foxconn, and has demonstrated significant productivity gains at DHL, positioning itself as a leader in collaborative robotics for material handling and warehouse automation.","Transportation, Logistics, Supply Chain and Storage; Logistics Technology","Robotics & Industrial Tech > Ground Mobility: AMRs and AGVs; Mobility, Transport & Logistics > Warehouse and Logistics Automation; AI & Machine Learning > Agentic Frameworks and Orchestration; AI & Machine Learning > Multimodal Perception and Sensor Fusion; Supply Chain & ManufacturingTech > Manufacturing Execution and Factory Systems",Artificial Intelligence (AI); Robotics; Software; Warehouse Automation,Early Stage,2019,"San Carlos, California, United States, North America",Active,42500000.0,20000000.0,2023-04-20,Series A,0.0,3,"Energy Impact Partners, Fontinalis Partners, Future Ventures, Jazz Venture Partners, Liquid 2 Ventures, Playground Global, Prime Movers Lab","Playground Global, Jazz Venture Partners, Prime Movers Lab",0.0,"[{""specter_person_id"":""per_1d9a4f6faf5d8359064e5bbd"",""full_name"":""Henrik Christensen"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_3d8f75e5785ae2b750601236"",""full_name"":""Gary Marcus"",""departments"":[""Senior Leadership""],""title"":""Founder and Executive Chairman"",""seniority"":""Executive Level""},{""specter_person_id"":""per_da1ed31ade1f63ee09b1da91"",""full_name"":""Rodney Brooks"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""CTO & Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_e04cbc5fb6375c535e2748ad"",""full_name"":""Anthony Jules"",""departments"":[""Senior Leadership""],""title"":""Co-founder and CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_eb398978d79894b0a4985f6d"",""full_name"":""Mohamed Amer"",""departments"":[""Senior Leadership""],""title"":""Founder & Advisor"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Hyper Connector, Influencer, Polyglot, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Academic Background, Strong Technical Background, Top University, VC-Backed Experience, VC-Backed Founder",5,76,10.14,15.15,9822.0,3.25,39.22,,,"Headcount Surge, Headcount Momentum, App Downloads Surge, Top Tier Investors, No Recent Funding",Robust.AI offers AI-powered collaborative robots for warehouse and manufacturing automation.,1.0,1.0,1.0,0.76,0.94
Observable Space,observable.space,"Observable Space supplies the hardware and software organizations need to operate spacecraft and observe the cosmos. The company provides telescopes and core software architecture that support mission operations, data collection, and system integration. Its offerings combine physical instruments with enterprise-grade software, APIs, and integration capabilities for research institutions, commercial operators, and government agencies. Observable Space operates as a B2B provider of space infrastructure across scientific, commercial, educational, and governmental markets.",Government Administration; Space Research and Technology,"Space & Frontier > Earth Observation and Space Data; Space & Frontier > Space Operations, Services and Logistics; Defence & Security > Space and Aerospace Defence; Space & Frontier > Exploration and Science Missions; Space & Frontier > Spacecraft Platforms and Constellations",Analytics; Developer APIs; Information Technology; Software; Space Travel,Growth Stage,2022,"Santa Monica, California, United States, North America",Active,106044010.0,90000000.0,2026-05-28,Series A,0.0,3,"BRV Capital Management, Detroit Venture Partners, Embedded Ventures, Fathom Fund, Island Green Capital, Lux Capital, Marlinspike Capital, Oceans, RTX Ventures, Upfront Ventures, Venrex","Upfront Ventures, Venrex, Lux Capital",0.0,"[{""specter_person_id"":""per_42efa0e4c84b043e433e0361"",""full_name"":""Daniel Roelker"",""departments"":[""Senior Leadership""],""title"":""Co-founder and CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_5dc960df5ac66d1fd26be636"",""full_name"":""Richard Hedrick"",""departments"":[""Senior Leadership""],""title"":""President and Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_6faa79d327110632eef7d376"",""full_name"":""Alex Hawkinson"",""departments"":[""Senior Leadership""],""title"":""Co-Founder and Board Member"",""seniority"":""Executive Level""}]","Unicorn Experience, Prior Exit, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Top University, VC-Backed Experience, VC-Backed Founder",3,43,16.22,43.33,5384.0,141.65,220.1,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, Raised Last Month, Recent Funding, Recent News",Observable Space provides hardware and software for organizations operating in space.,1.0,1.0,0.733,1.0,0.933
Quantum Space,quantumspace.us,"Quantum Space is building the maneuver-first space infrastructure required for todayâ€™s contested domain. Their flagship platform, Ranger, enables dynamic, persistent capabilities supporting national security and commercial missions across all orbital regimes. Ranger is engineered for space superiority, offering 15+ years of operational longevity for persistent presence, deep fuel reserves for multi-orbit missions, and five payload ports for diverse deployment.  For national security, Ranger supports space-based interceptors, space domain dominance, and fleet refueling. Commercially, it offers satellite life extension, adding 3-5 years of operational service. The company has secured multiple defense contracts totaling approximately $30 million and recently raised a $40 million Series A extension, bringing the total to $57 million.",Manufacturing; Transportation Equipment Manufacturing; Defense and Space Manufacturing,"Defence & Security > Space and Aerospace Defence; Space & Frontier > Spacecraft Platforms and Constellations; Space & Frontier > On-Orbit Services and Infrastructure; Space & Frontier > Space Operations, Services and Logistics; Space & Frontier > Launch, Reentry and Propulsion Systems",Aerospace,Early Stage,2021,"Rockville, Maryland, United States, North America",Active,73231356.0,40000000.0,2025-06-10,Series A,0.0,6,"1802 Ventures, AnD Ventures, Gaingels, Maryland Department of Commerce, Prime Movers Lab, Sporos Capital Partners","Prime Movers Lab, Maryland Department of Commerce, Sporos Capital Partners",0.0,"[{""specter_person_id"":""per_77f259101c287a3465018401"",""full_name"":""Benjamin Reed"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder and CIO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_7c7e97fb84ecc34dca8acd9a"",""full_name"":""Kerry Wisnosky"",""departments"":[""Senior Leadership""],""title"":""Co-Founder/ CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_ec2478d0ddf07fccb87ec054"",""full_name"":""Kam Ghaffarian"",""departments"":[""Senior Leadership""],""title"":""Co-Founder & Executive Chairman"",""seniority"":""Executive Level""}]","Unicorn Experience, Prior Exit, Prior IPO, Prior VC-Backed Founder, Serial Founder, Strong Academic Background, Strong Technical Background, Top University, VC-Backed Founder",3,69,16.95,43.75,682.0,-81.46,-82.18,3.0,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, No Recent Funding, Recent News","Quantum Space develops Ranger, a maneuver-first spacecraft for defense and commercial space missions.",1.0,1.0,1.0,0.7,0.925
Augment,goaugment.com,"Augment provides Augie, an AI teammate that automates complex logistics tasks so operations teams can focus on decisions and customer relationships. The platform is a B2B SaaS logistics productivity solution that uses AI and large language models (LLMs) deployed on AWS, with enterprise features like SAML/SSO and TLS 1.2+ for secure integrations into email, phone, portals, TMS, and invoicing systems. Augie automates workflows such as POD collection, booking loads, track-and-trace, and order-to-cash by parsing messages, generating documents, and executing system actions. The product targets shippers, brokers, and carriers and aims to reduce errors, speed cycle times, and improve revenue, yield, and DSO across logistics operations.","Transportation, Logistics, Supply Chain and Storage; Logistics Technology","Mobility, Transport & Logistics > Logistics, Fulfilment, and Returns; Supply Chain & ManufacturingTech > Aftermarket & Service Supply Chains; Mobility, Transport & Logistics > Freight, TMS and Logistics Platforms; Supply Chain & ManufacturingTech > Supply Chain Visibility and Control Towers; Enterprise Automation > Integration and Workflow Automation",Artificial Intelligence (AI); Freight Service; Logistics; Transportation,Growth Stage,2024,"San Francisco, California, United States, North America",Active,110000000.0,85000000.0,2025-09-04,Series A,0.0,2,"8VC, 9Yards Capital, Autotech Ventures, Redpoint, Shopify Ventures","8VC, Redpoint",0.0,"[{""specter_person_id"":""per_67c8a92d7a179df3dd979d47"",""full_name"":""Artur Rivilis"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""CTO and Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_76cb1fe8824b974eeea5250a"",""full_name"":""Harish Abbott"",""departments"":[""Senior Leadership""],""title"":""CEO/Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_e934a5f535eec304c1a72f47"",""full_name"":""Justin Hall"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, Top University, VC-Backed Founder",3,157,8.28,38.94,16169.0,-16.62,-43.36,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Decline, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, No Recent Funding, Recent News","Augment provides Augie, an AI teammate that automates logistics tasks.",1.0,1.0,1.0,0.7,0.925
SuperCircle,supercircle.world,"SuperCircle helps retail brands reduce post-consumer textile waste by operating trade-in programs and managing excess inventory for reuse or recycling. It combines a B2B SaaS platform with physical reverse logistics, processing networks, and retail integrations to collect, sort, route, and monetize returned or end-of-life apparel. The company provides turnkey program operations and data reporting tools that track performance and environmental impact. SuperCircle targets fashion and retail brands seeking scalable circularity solutions in the apparel waste market.","Technology, Information and Internet; Internet Marketplace Platforms","Supply Chain & ManufacturingTech > Traceability, Circularity and Sustainability; Commerce & Marketplaces > Circular and Recommerce Platforms; ClimateTech > Circular Models and Product Life-Extension; Consumer Brands, Fashion & Retail > Sustainable Supply Chain & Circularity",CleanTech; Retail Technology; Waste Management,Early Stage,2021,"New York City, New York, United States, North America",Active,31000000.0,24000000.0,2025-12-10,Series A,0.0,3,"BBG Ventures, Blueprint Ventures, Earthshot Ventures, Elemental Impact, Foundry Group, Lyra Ventures, Montage Ventures, Radicle Impact, Renewal Funds, Ulu Ventures","Radicle Impact, Ulu Ventures, Elemental Impact, Foundry Group",0.0,"[{""specter_person_id"":""per_190bef8b27b041e330fb5882"",""full_name"":""Phong Nguyen"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder / CTO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_4b3243a1ba0cf46cb77cb714"",""full_name"":""Stuart Ahlum"",""departments"":[""Senior Leadership"",""Operations""],""title"":""Co-Founder & COO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_7c73452109d40313d0f98f60"",""full_name"":""Chloe Marie Songer"",""departments"":[""Senior Leadership""],""title"":""Co-Founder & CEO"",""seniority"":""Executive Level""}]","Prior Exit, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, Top University, VC-Backed Founder",3,32,14.29,23.08,139839.0,-3.29,79.69,,,"Headcount Surge, Headcount Scale-up, Web Traffic Momentum, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, Recent Funding",SuperCircle powers circularity for retail brands via trade-in programs and reverse logistics.,1.0,1.0,0.667,1.0,0.917
JetZero,jetzero.aero,"JetZero develops blended-wing-body commercial aircraft that aim to substantially lower fuel consumption and carbon emissions for airlines, cargo operators, and military customers. The company is advancing the Z4 all-wing aircraft using aerodynamic simulation, structural engineering, advanced composites, and advanced manufacturing techniques, and is exploring hydrogen fuel adaptations. JetZero partners with aerospace suppliers, the US Air Force, NASA, and the FAA to design, test, and prepare full-scale demonstrators and certification pathways. JetZero is an aircraft OEM targeting entry into commercial service by 2030.",Manufacturing; Transportation Equipment Manufacturing; Aviation and Aerospace Component Manufacturing,"ClimateTech > Low-Carbon Mobility and Transport; ClimateTech > Industrial and Materials Decarbonisation; Energy & Storage > Hydrogen, Ammonia and E-fuels; Space & Frontier > Launch, Reentry and Propulsion Systems; Defence & Security > Defence Manufacturing and Materials",Aerospace; Air Transportation; Manufacturing,Growth Stage,2020,"Long Beach, California, United States, North America",Active,436425102.0,175000000.0,2026-01-13,Series B,0.0,5,"3M New Ventures, Alaska Airlines, Alaska Star Ventures, B Capital, Northrop Grumman, RTX Ventures, Trucks Venture Capital, US Air Force Reserve, United Airlines, United Airlines Ventures","US Air Force Reserve, Alaska Star Ventures, United Airlines, B Capital",0.0,"[{""specter_person_id"":""per_90c190fff1de7c5db0b6674e"",""full_name"":""Tom O'Leary"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, VC-Backed Founder",1,218,9.55,16.58,22453.0,3.66,-25.08,55.0,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Social Followers Scale-up, Recent Funding, Recent News",JetZero develops blended-wing-body commercial aircraft to reduce fuel burn and emissions.,1.0,1.0,0.967,0.7,0.917
Portal Space Systems,portalsystems.space,"Portal Space Systems builds the Supernova, a payload-agnostic satellite bus that provides rapid, long-range maneuverability for spacecraft operators. The Supernova uses a novel solar-thermal propulsion system and high-delta-v architecture to enable transfers between LEO, MEO, GEO, and cislunar space in hours or days. The platform is engineered for payload flexibility, radiation tolerance, and includes space domain awareness sensors to support tactical responsiveness on orbit. Portal sells the Supernova as an OEM spacecraft platform and provides vehicle integration and mission support to satellite developers and government and defense operators.",Manufacturing; Transportation Equipment Manufacturing; Defense and Space Manufacturing,"Space & Frontier > Launch, Reentry and Propulsion Systems; Space & Frontier > Spacecraft Platforms and Constellations; Defence & Security > Space and Aerospace Defence",Information Services; Information Technology; Service Industry,Early Stage,2021,"Bothell, Washington, United States, North America",Active,131976510.0,50000000.0,2026-04-09,Series A,0.0,5,"ARK Investment Management, AlleyCorp, Atypical Ventures, Booz Allen Ventures, FUSE, First In, Geodesic Capital, Jeff Crusey, Mach33 Financial Group, Offline Ventures, TFX Capital, Trajectory Ventures, U.S. Department of Defense","U.S. Department of Defense, AlleyCorp, Geodesic Capital, Mach33 Financial Group",0.0,"[{""specter_person_id"":""per_1c6b6a97efa122b72cfaf4d1"",""full_name"":""Jeff Thornburg"",""departments"":[""Senior Leadership""],""title"":""CEO & Co-founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_d9bf05ecb9dcdb2fb158b6bc"",""full_name"":""Ian Vorbach"",""departments"":[""Senior Leadership"",""BD & Marketing""],""title"":""Co-Founder, Chief Revenue Officer"",""seniority"":""Executive Level""},{""specter_person_id"":""per_ff0f7283e947d770475fbeb9"",""full_name"":""Prashaanth Ravindran Ph.D."",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder and Vice-President of Engineering"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Academic Background, Strong Technical Background, Top University, VC-Backed Experience, VC-Backed Founder",3,35,59.09,66.67,9679.0,110.23,75.85,1.0,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Recent Funding, Recent News",Portal Space Systems builds the Supernova satellite bus for rapid in-space maneuverability.,1.0,1.0,0.667,1.0,0.917
